State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
13,1,Rural,0-4,NAGALAND,Mon,Male,In seeing,19
13,1,Rural,5-9,NAGALAND,Mon,Male,In seeing,26
13,1,Rural,10-19,NAGALAND,Mon,Male,In seeing,71
13,1,Rural,20-29,NAGALAND,Mon,Male,In seeing,43
13,1,Rural,30-39,NAGALAND,Mon,Male,In seeing,47
13,1,Rural,40-49,NAGALAND,Mon,Male,In seeing,39
13,1,Rural,50-59,NAGALAND,Mon,Male,In seeing,39
13,1,Rural,60-69,NAGALAND,Mon,Male,In seeing,51
13,1,Rural,70-79,NAGALAND,Mon,Male,In seeing,35
13,1,Rural,80-89,NAGALAND,Mon,Male,In seeing,13
13,1,Rural,90+,NAGALAND,Mon,Male,In seeing,4
13,1,Rural,Age Not Stated,NAGALAND,Mon,Male,In seeing,0
13,1,Urban,0-4,NAGALAND,Mon,Male,In seeing,3
13,1,Urban,5-9,NAGALAND,Mon,Male,In seeing,4
13,1,Urban,10-19,NAGALAND,Mon,Male,In seeing,12
13,1,Urban,20-29,NAGALAND,Mon,Male,In seeing,8
13,1,Urban,30-39,NAGALAND,Mon,Male,In seeing,7
13,1,Urban,40-49,NAGALAND,Mon,Male,In seeing,7
13,1,Urban,50-59,NAGALAND,Mon,Male,In seeing,6
13,1,Urban,60-69,NAGALAND,Mon,Male,In seeing,6
13,1,Urban,70-79,NAGALAND,Mon,Male,In seeing,0
13,1,Urban,80-89,NAGALAND,Mon,Male,In seeing,1
13,1,Urban,90+,NAGALAND,Mon,Male,In seeing,0
13,1,Urban,Age Not Stated,NAGALAND,Mon,Male,In seeing,0
13,2,Rural,0-4,NAGALAND,Mokokchung,Male,In seeing,2
13,2,Rural,5-9,NAGALAND,Mokokchung,Male,In seeing,4
13,2,Rural,10-19,NAGALAND,Mokokchung,Male,In seeing,17
13,2,Rural,20-29,NAGALAND,Mokokchung,Male,In seeing,11
13,2,Rural,30-39,NAGALAND,Mokokchung,Male,In seeing,15
13,2,Rural,40-49,NAGALAND,Mokokchung,Male,In seeing,14
13,2,Rural,50-59,NAGALAND,Mokokchung,Male,In seeing,13
13,2,Rural,60-69,NAGALAND,Mokokchung,Male,In seeing,11
13,2,Rural,70-79,NAGALAND,Mokokchung,Male,In seeing,20
13,2,Rural,80-89,NAGALAND,Mokokchung,Male,In seeing,13
13,2,Rural,90+,NAGALAND,Mokokchung,Male,In seeing,2
13,2,Rural,Age Not Stated,NAGALAND,Mokokchung,Male,In seeing,1
13,2,Urban,0-4,NAGALAND,Mokokchung,Male,In seeing,0
13,2,Urban,5-9,NAGALAND,Mokokchung,Male,In seeing,0
13,2,Urban,10-19,NAGALAND,Mokokchung,Male,In seeing,5
13,2,Urban,20-29,NAGALAND,Mokokchung,Male,In seeing,2
13,2,Urban,30-39,NAGALAND,Mokokchung,Male,In seeing,3
13,2,Urban,40-49,NAGALAND,Mokokchung,Male,In seeing,6
13,2,Urban,50-59,NAGALAND,Mokokchung,Male,In seeing,9
13,2,Urban,60-69,NAGALAND,Mokokchung,Male,In seeing,8
13,2,Urban,70-79,NAGALAND,Mokokchung,Male,In seeing,4
13,2,Urban,80-89,NAGALAND,Mokokchung,Male,In seeing,5
13,2,Urban,90+,NAGALAND,Mokokchung,Male,In seeing,1
13,2,Urban,Age Not Stated,NAGALAND,Mokokchung,Male,In seeing,0
13,3,Rural,0-4,NAGALAND,Zunheboto,Male,In seeing,2
13,3,Rural,5-9,NAGALAND,Zunheboto,Male,In seeing,10
13,3,Rural,10-19,NAGALAND,Zunheboto,Male,In seeing,19
13,3,Rural,20-29,NAGALAND,Zunheboto,Male,In seeing,14
13,3,Rural,30-39,NAGALAND,Zunheboto,Male,In seeing,14
13,3,Rural,40-49,NAGALAND,Zunheboto,Male,In seeing,17
13,3,Rural,50-59,NAGALAND,Zunheboto,Male,In seeing,18
13,3,Rural,60-69,NAGALAND,Zunheboto,Male,In seeing,12
13,3,Rural,70-79,NAGALAND,Zunheboto,Male,In seeing,17
13,3,Rural,80-89,NAGALAND,Zunheboto,Male,In seeing,6
13,3,Rural,90+,NAGALAND,Zunheboto,Male,In seeing,4
13,3,Rural,Age Not Stated,NAGALAND,Zunheboto,Male,In seeing,0
13,3,Urban,0-4,NAGALAND,Zunheboto,Male,In seeing,0
13,3,Urban,5-9,NAGALAND,Zunheboto,Male,In seeing,2
13,3,Urban,10-19,NAGALAND,Zunheboto,Male,In seeing,4
13,3,Urban,20-29,NAGALAND,Zunheboto,Male,In seeing,6
13,3,Urban,30-39,NAGALAND,Zunheboto,Male,In seeing,2
13,3,Urban,40-49,NAGALAND,Zunheboto,Male,In seeing,4
13,3,Urban,50-59,NAGALAND,Zunheboto,Male,In seeing,2
13,3,Urban,60-69,NAGALAND,Zunheboto,Male,In seeing,2
13,3,Urban,70-79,NAGALAND,Zunheboto,Male,In seeing,3
13,3,Urban,80-89,NAGALAND,Zunheboto,Male,In seeing,0
13,3,Urban,90+,NAGALAND,Zunheboto,Male,In seeing,0
13,3,Urban,Age Not Stated,NAGALAND,Zunheboto,Male,In seeing,0
13,4,Rural,0-4,NAGALAND,Wokha,Male,In seeing,1
13,4,Rural,5-9,NAGALAND,Wokha,Male,In seeing,3
13,4,Rural,10-19,NAGALAND,Wokha,Male,In seeing,13
13,4,Rural,20-29,NAGALAND,Wokha,Male,In seeing,16
13,4,Rural,30-39,NAGALAND,Wokha,Male,In seeing,7
13,4,Rural,40-49,NAGALAND,Wokha,Male,In seeing,14
13,4,Rural,50-59,NAGALAND,Wokha,Male,In seeing,10
13,4,Rural,60-69,NAGALAND,Wokha,Male,In seeing,19
13,4,Rural,70-79,NAGALAND,Wokha,Male,In seeing,19
13,4,Rural,80-89,NAGALAND,Wokha,Male,In seeing,10
13,4,Rural,90+,NAGALAND,Wokha,Male,In seeing,2
13,4,Rural,Age Not Stated,NAGALAND,Wokha,Male,In seeing,0
13,4,Urban,0-4,NAGALAND,Wokha,Male,In seeing,0
13,4,Urban,5-9,NAGALAND,Wokha,Male,In seeing,1
13,4,Urban,10-19,NAGALAND,Wokha,Male,In seeing,1
13,4,Urban,20-29,NAGALAND,Wokha,Male,In seeing,0
13,4,Urban,30-39,NAGALAND,Wokha,Male,In seeing,2
13,4,Urban,40-49,NAGALAND,Wokha,Male,In seeing,1
13,4,Urban,50-59,NAGALAND,Wokha,Male,In seeing,3
