State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
11,1,Rural,0-4,SIKKIM,North  District,Male,In seeing,0
11,1,Rural,5-9,SIKKIM,North  District,Male,In seeing,6
11,1,Rural,10-19,SIKKIM,North  District,Male,In seeing,17
11,1,Rural,20-29,SIKKIM,North  District,Male,In seeing,5
11,1,Rural,30-39,SIKKIM,North  District,Male,In seeing,7
11,1,Rural,40-49,SIKKIM,North  District,Male,In seeing,9
11,1,Rural,50-59,SIKKIM,North  District,Male,In seeing,13
11,1,Rural,60-69,SIKKIM,North  District,Male,In seeing,11
11,1,Rural,70-79,SIKKIM,North  District,Male,In seeing,7
11,1,Rural,80-89,SIKKIM,North  District,Male,In seeing,5
11,1,Rural,90+,SIKKIM,North  District,Male,In seeing,0
11,1,Rural,Age Not Stated,SIKKIM,North  District,Male,In seeing,0
11,1,Urban,0-4,SIKKIM,North  District,Male,In seeing,0
11,1,Urban,5-9,SIKKIM,North  District,Male,In seeing,0
11,1,Urban,10-19,SIKKIM,North  District,Male,In seeing,0
11,1,Urban,20-29,SIKKIM,North  District,Male,In seeing,0
11,1,Urban,30-39,SIKKIM,North  District,Male,In seeing,2
11,1,Urban,40-49,SIKKIM,North  District,Male,In seeing,0
11,1,Urban,50-59,SIKKIM,North  District,Male,In seeing,0
11,1,Urban,60-69,SIKKIM,North  District,Male,In seeing,1
11,1,Urban,70-79,SIKKIM,North  District,Male,In seeing,0
11,1,Urban,80-89,SIKKIM,North  District,Male,In seeing,0
11,1,Urban,90+,SIKKIM,North  District,Male,In seeing,0
11,1,Urban,Age Not Stated,SIKKIM,North  District,Male,In seeing,0
11,2,Rural,0-4,SIKKIM,West District,Male,In seeing,3
11,2,Rural,5-9,SIKKIM,West District,Male,In seeing,14
11,2,Rural,10-19,SIKKIM,West District,Male,In seeing,22
11,2,Rural,20-29,SIKKIM,West District,Male,In seeing,24
11,2,Rural,30-39,SIKKIM,West District,Male,In seeing,34
11,2,Rural,40-49,SIKKIM,West District,Male,In seeing,27
11,2,Rural,50-59,SIKKIM,West District,Male,In seeing,34
11,2,Rural,60-69,SIKKIM,West District,Male,In seeing,45
11,2,Rural,70-79,SIKKIM,West District,Male,In seeing,54
11,2,Rural,80-89,SIKKIM,West District,Male,In seeing,24
11,2,Rural,90+,SIKKIM,West District,Male,In seeing,3
11,2,Rural,Age Not Stated,SIKKIM,West District,Male,In seeing,0
11,2,Urban,0-4,SIKKIM,West District,Male,In seeing,1
11,2,Urban,5-9,SIKKIM,West District,Male,In seeing,0
11,2,Urban,10-19,SIKKIM,West District,Male,In seeing,0
11,2,Urban,20-29,SIKKIM,West District,Male,In seeing,0
11,2,Urban,30-39,SIKKIM,West District,Male,In seeing,0
11,2,Urban,40-49,SIKKIM,West District,Male,In seeing,0
11,2,Urban,50-59,SIKKIM,West District,Male,In seeing,0
11,2,Urban,60-69,SIKKIM,West District,Male,In seeing,0
11,2,Urban,70-79,SIKKIM,West District,Male,In seeing,0
11,2,Urban,80-89,SIKKIM,West District,Male,In seeing,1
11,2,Urban,90+,SIKKIM,West District,Male,In seeing,0
11,2,Urban,Age Not Stated,SIKKIM,West District,Male,In seeing,0
11,3,Rural,0-4,SIKKIM,South District,Male,In seeing,7
