State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
33,1,Rural,0-4,TAMIL NADU,Thiruvallur,Male,In seeing,47
33,1,Rural,5-9,TAMIL NADU,Thiruvallur,Male,In seeing,58
33,1,Rural,10-19,TAMIL NADU,Thiruvallur,Male,In seeing,224
33,1,Rural,20-29,TAMIL NADU,Thiruvallur,Male,In seeing,203
33,1,Rural,30-39,TAMIL NADU,Thiruvallur,Male,In seeing,228
33,1,Rural,40-49,TAMIL NADU,Thiruvallur,Male,In seeing,228
33,1,Rural,50-59,TAMIL NADU,Thiruvallur,Male,In seeing,224
33,1,Rural,60-69,TAMIL NADU,Thiruvallur,Male,In seeing,190
33,1,Rural,70-79,TAMIL NADU,Thiruvallur,Male,In seeing,95
33,1,Rural,80-89,TAMIL NADU,Thiruvallur,Male,In seeing,26
33,1,Rural,90+,TAMIL NADU,Thiruvallur,Male,In seeing,7
33,1,Rural,Age Not Stated,TAMIL NADU,Thiruvallur,Male,In seeing,1
33,1,Urban,0-4,TAMIL NADU,Thiruvallur,Male,In seeing,102
33,1,Urban,5-9,TAMIL NADU,Thiruvallur,Male,In seeing,88
33,1,Urban,10-19,TAMIL NADU,Thiruvallur,Male,In seeing,269
33,1,Urban,20-29,TAMIL NADU,Thiruvallur,Male,In seeing,358
33,1,Urban,30-39,TAMIL NADU,Thiruvallur,Male,In seeing,346
33,1,Urban,40-49,TAMIL NADU,Thiruvallur,Male,In seeing,369
33,1,Urban,50-59,TAMIL NADU,Thiruvallur,Male,In seeing,339
33,1,Urban,60-69,TAMIL NADU,Thiruvallur,Male,In seeing,224
33,1,Urban,70-79,TAMIL NADU,Thiruvallur,Male,In seeing,116
33,1,Urban,80-89,TAMIL NADU,Thiruvallur,Male,In seeing,37
33,1,Urban,90+,TAMIL NADU,Thiruvallur,Male,In seeing,10
33,1,Urban,Age Not Stated,TAMIL NADU,Thiruvallur,Male,In seeing,2
33,2,Rural,0-4,TAMIL NADU,Chennai,Male,In seeing,0
33,2,Rural,5-9,TAMIL NADU,Chennai,Male,In seeing,0
33,2,Rural,10-19,TAMIL NADU,Chennai,Male,In seeing,0
33,2,Rural,20-29,TAMIL NADU,Chennai,Male,In seeing,0
33,2,Rural,30-39,TAMIL NADU,Chennai,Male,In seeing,0
33,2,Rural,40-49,TAMIL NADU,Chennai,Male,In seeing,0
