State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
16,1,Rural,0-4,TRIPURA,West Tripura ,Male,In seeing,51
16,1,Rural,5-9,TRIPURA,West Tripura ,Male,In seeing,76
16,1,Rural,10-19,TRIPURA,West Tripura ,Male,In seeing,188
16,1,Rural,20-29,TRIPURA,West Tripura ,Male,In seeing,219
16,1,Rural,30-39,TRIPURA,West Tripura ,Male,In seeing,218
16,1,Rural,40-49,TRIPURA,West Tripura ,Male,In seeing,259
16,1,Rural,50-59,TRIPURA,West Tripura ,Male,In seeing,209
16,1,Rural,60-69,TRIPURA,West Tripura ,Male,In seeing,208
16,1,Rural,70-79,TRIPURA,West Tripura ,Male,In seeing,184
16,1,Rural,80-89,TRIPURA,West Tripura ,Male,In seeing,98
16,1,Rural,90+,TRIPURA,West Tripura ,Male,In seeing,36
16,1,Rural,Age Not Stated,TRIPURA,West Tripura ,Male,In seeing,5
16,1,Urban,0-4,TRIPURA,West Tripura ,Male,In seeing,11
16,1,Urban,5-9,TRIPURA,West Tripura ,Male,In seeing,37
16,1,Urban,10-19,TRIPURA,West Tripura ,Male,In seeing,164
16,1,Urban,20-29,TRIPURA,West Tripura ,Male,In seeing,145
16,1,Urban,30-39,TRIPURA,West Tripura ,Male,In seeing,146
16,1,Urban,40-49,TRIPURA,West Tripura ,Male,In seeing,172
16,1,Urban,50-59,TRIPURA,West Tripura ,Male,In seeing,155
16,1,Urban,60-69,TRIPURA,West Tripura ,Male,In seeing,143
16,1,Urban,70-79,TRIPURA,West Tripura ,Male,In seeing,108
16,1,Urban,80-89,TRIPURA,West Tripura ,Male,In seeing,45
16,1,Urban,90+,TRIPURA,West Tripura ,Male,In seeing,15
16,1,Urban,Age Not Stated,TRIPURA,West Tripura ,Male,In seeing,1
16,2,Rural,0-4,TRIPURA,South Tripura ,Male,In seeing,25
16,2,Rural,5-9,TRIPURA,South Tripura ,Male,In seeing,49
16,2,Rural,10-19,TRIPURA,South Tripura ,Male,In seeing,118
16,2,Rural,20-29,TRIPURA,South Tripura ,Male,In seeing,105
16,2,Rural,30-39,TRIPURA,South Tripura ,Male,In seeing,115
16,2,Rural,40-49,TRIPURA,South Tripura ,Male,In seeing,125
16,2,Rural,50-59,TRIPURA,South Tripura ,Male,In seeing,101
16,2,Rural,60-69,TRIPURA,South Tripura ,Male,In seeing,77
16,2,Rural,70-79,TRIPURA,South Tripura ,Male,In seeing,63
16,2,Rural,80-89,TRIPURA,South Tripura ,Male,In seeing,46
16,2,Rural,90+,TRIPURA,South Tripura ,Male,In seeing,14
16,2,Rural,Age Not Stated,TRIPURA,South Tripura ,Male,In seeing,0
16,2,Urban,0-4,TRIPURA,South Tripura ,Male,In seeing,3
16,2,Urban,5-9,TRIPURA,South Tripura ,Male,In seeing,9
16,2,Urban,10-19,TRIPURA,South Tripura ,Male,In seeing,14
16,2,Urban,20-29,TRIPURA,South Tripura ,Male,In seeing,20
16,2,Urban,30-39,TRIPURA,South Tripura ,Male,In seeing,26
16,2,Urban,40-49,TRIPURA,South Tripura ,Male,In seeing,42
16,2,Urban,50-59,TRIPURA,South Tripura ,Male,In seeing,43
16,2,Urban,60-69,TRIPURA,South Tripura ,Male,In seeing,40
16,2,Urban,70-79,TRIPURA,South Tripura ,Male,In seeing,22
16,2,Urban,80-89,TRIPURA,South Tripura ,Male,In seeing,9
16,2,Urban,90+,TRIPURA,South Tripura ,Male,In seeing,1
16,2,Urban,Age Not Stated,TRIPURA,South Tripura ,Male,In seeing,0
16,3,Rural,0-4,TRIPURA,Dhalai,Male,In seeing,17
16,3,Rural,5-9,TRIPURA,Dhalai,Male,In seeing,33
16,3,Rural,10-19,TRIPURA,Dhalai,Male,In seeing,62
16,3,Rural,20-29,TRIPURA,Dhalai,Male,In seeing,46
16,3,Rural,30-39,TRIPURA,Dhalai,Male,In seeing,56
16,3,Rural,40-49,TRIPURA,Dhalai,Male,In seeing,71
16,3,Rural,50-59,TRIPURA,Dhalai,Male,In seeing,67
16,3,Rural,60-69,TRIPURA,Dhalai,Male,In seeing,74
16,3,Rural,70-79,TRIPURA,Dhalai,Male,In seeing,64
16,3,Rural,80-89,TRIPURA,Dhalai,Male,In seeing,48
16,3,Rural,90+,TRIPURA,Dhalai,Male,In seeing,16
16,3,Rural,Age Not Stated,TRIPURA,Dhalai,Male,In seeing,1
16,3,Urban,0-4,TRIPURA,Dhalai,Male,In seeing,2
16,3,Urban,5-9,TRIPURA,Dhalai,Male,In seeing,4
16,3,Urban,10-19,TRIPURA,Dhalai,Male,In seeing,6
16,3,Urban,20-29,TRIPURA,Dhalai,Male,In seeing,10
16,3,Urban,30-39,TRIPURA,Dhalai,Male,In seeing,7
16,3,Urban,40-49,TRIPURA,Dhalai,Male,In seeing,7
16,3,Urban,50-59,TRIPURA,Dhalai,Male,In seeing,7
16,3,Urban,60-69,TRIPURA,Dhalai,Male,In seeing,9
16,3,Urban,70-79,TRIPURA,Dhalai,Male,In seeing,8
16,3,Urban,80-89,TRIPURA,Dhalai,Male,In seeing,3
16,3,Urban,90+,TRIPURA,Dhalai,Male,In seeing,0
16,3,Urban,Age Not Stated,TRIPURA,Dhalai,Male,In seeing,0
16,4,Rural,0-4,TRIPURA,North Tripura,Male,In seeing,48
16,4,Rural,5-9,TRIPURA,North Tripura,Male,In seeing,49
16,4,Rural,10-19,TRIPURA,North Tripura,Male,In seeing,126
16,4,Rural,20-29,TRIPURA,North Tripura,Male,In seeing,93
16,4,Rural,30-39,TRIPURA,North Tripura,Male,In seeing,105
16,4,Rural,40-49,TRIPURA,North Tripura,Male,In seeing,95
16,4,Rural,50-59,TRIPURA,North Tripura,Male,In seeing,75
16,4,Rural,60-69,TRIPURA,North Tripura,Male,In seeing,72
16,4,Rural,70-79,TRIPURA,North Tripura,Male,In seeing,78
16,4,Rural,80-89,TRIPURA,North Tripura,Male,In seeing,21
16,4,Rural,90+,TRIPURA,North Tripura,Male,In seeing,7
16,4,Rural,Age Not Stated,TRIPURA,North Tripura,Male,In seeing,0
16,4,Urban,0-4,TRIPURA,North Tripura,Male,In seeing,7
16,4,Urban,5-9,TRIPURA,North Tripura,Male,In seeing,6
16,4,Urban,10-19,TRIPURA,North Tripura,Male,In seeing,26
16,4,Urban,20-29,TRIPURA,North Tripura,Male,In seeing,21
16,4,Urban,30-39,TRIPURA,North Tripura,Male,In seeing,16
16,4,Urban,40-49,TRIPURA,North Tripura,Male,In seeing,28
16,4,Urban,50-59,TRIPURA,North Tripura,Male,In seeing,20
16,4,Urban,60-69,TRIPURA,North Tripura,Male,In seeing,17
16,4,Urban,70-79,TRIPURA,North Tripura,Male,In seeing,15
16,4,Urban,80-89,TRIPURA,North Tripura,Male,In seeing,7
