State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
9,1,Rural,0-4,UTTAR PRADESH,Saharanpur,Male,In seeing,136
9,1,Rural,5-9,UTTAR PRADESH,Saharanpur,Male,In seeing,197
9,1,Rural,10-19,UTTAR PRADESH,Saharanpur,Male,In seeing,519
9,1,Rural,20-29,UTTAR PRADESH,Saharanpur,Male,In seeing,371
9,1,Rural,30-39,UTTAR PRADESH,Saharanpur,Male,In seeing,265
9,1,Rural,40-49,UTTAR PRADESH,Saharanpur,Male,In seeing,304
9,1,Rural,50-59,UTTAR PRADESH,Saharanpur,Male,In seeing,311
9,1,Rural,60-69,UTTAR PRADESH,Saharanpur,Male,In seeing,553
9,1,Rural,70-79,UTTAR PRADESH,Saharanpur,Male,In seeing,397
9,1,Rural,80-89,UTTAR PRADESH,Saharanpur,Male,In seeing,181
9,1,Rural,90+,UTTAR PRADESH,Saharanpur,Male,In seeing,50
9,1,Rural,Age Not Stated,UTTAR PRADESH,Saharanpur,Male,In seeing,41
9,1,Urban,0-4,UTTAR PRADESH,Saharanpur,Male,In seeing,80
9,1,Urban,5-9,UTTAR PRADESH,Saharanpur,Male,In seeing,97
9,1,Urban,10-19,UTTAR PRADESH,Saharanpur,Male,In seeing,192
9,1,Urban,20-29,UTTAR PRADESH,Saharanpur,Male,In seeing,156
9,1,Urban,30-39,UTTAR PRADESH,Saharanpur,Male,In seeing,131
9,1,Urban,40-49,UTTAR PRADESH,Saharanpur,Male,In seeing,153
9,1,Urban,50-59,UTTAR PRADESH,Saharanpur,Male,In seeing,155
9,1,Urban,60-69,UTTAR PRADESH,Saharanpur,Male,In seeing,179
9,1,Urban,70-79,UTTAR PRADESH,Saharanpur,Male,In seeing,108
9,1,Urban,80-89,UTTAR PRADESH,Saharanpur,Male,In seeing,58
9,1,Urban,90+,UTTAR PRADESH,Saharanpur,Male,In seeing,11
9,1,Urban,Age Not Stated,UTTAR PRADESH,Saharanpur,Male,In seeing,19
9,2,Rural,0-4,UTTAR PRADESH,Muzaffarnagar,Male,In seeing,228
9,2,Rural,5-9,UTTAR PRADESH,Muzaffarnagar,Male,In seeing,313
9,2,Rural,10-19,UTTAR PRADESH,Muzaffarnagar,Male,In seeing,647
9,2,Rural,20-29,UTTAR PRADESH,Muzaffarnagar,Male,In seeing,425
9,2,Rural,30-39,UTTAR PRADESH,Muzaffarnagar,Male,In seeing,346
9,2,Rural,40-49,UTTAR PRADESH,Muzaffarnagar,Male,In seeing,337
9,2,Rural,50-59,UTTAR PRADESH,Muzaffarnagar,Male,In seeing,331
9,2,Rural,60-69,UTTAR PRADESH,Muzaffarnagar,Male,In seeing,576
9,2,Rural,70-79,UTTAR PRADESH,Muzaffarnagar,Male,In seeing,446
9,2,Rural,80-89,UTTAR PRADESH,Muzaffarnagar,Male,In seeing,226
9,2,Rural,90+,UTTAR PRADESH,Muzaffarnagar,Male,In seeing,70
9,2,Rural,Age Not Stated,UTTAR PRADESH,Muzaffarnagar,Male,In seeing,40
9,2,Urban,0-4,UTTAR PRADESH,Muzaffarnagar,Male,In seeing,106
9,2,Urban,5-9,UTTAR PRADESH,Muzaffarnagar,Male,In seeing,124
9,2,Urban,10-19,UTTAR PRADESH,Muzaffarnagar,Male,In seeing,263
9,2,Urban,20-29,UTTAR PRADESH,Muzaffarnagar,Male,In seeing,182
9,2,Urban,30-39,UTTAR PRADESH,Muzaffarnagar,Male,In seeing,138
9,2,Urban,40-49,UTTAR PRADESH,Muzaffarnagar,Male,In seeing,159
9,2,Urban,50-59,UTTAR PRADESH,Muzaffarnagar,Male,In seeing,166
9,2,Urban,60-69,UTTAR PRADESH,Muzaffarnagar,Male,In seeing,194
9,2,Urban,70-79,UTTAR PRADESH,Muzaffarnagar,Male,In seeing,111
9,2,Urban,80-89,UTTAR PRADESH,Muzaffarnagar,Male,In seeing,58
9,2,Urban,90+,UTTAR PRADESH,Muzaffarnagar,Male,In seeing,15
9,2,Urban,Age Not Stated,UTTAR PRADESH,Muzaffarnagar,Male,In seeing,11
9,3,Rural,0-4,UTTAR PRADESH,Bijnor,Male,In seeing,195
9,3,Rural,5-9,UTTAR PRADESH,Bijnor,Male,In seeing,269
9,3,Rural,10-19,UTTAR PRADESH,Bijnor,Male,In seeing,596
