State_Code,District_Code,Area_Type,Age_Group,State,City,Gender,Type,Rate
19,1,Rural,0-4,WEST BENGAL,Darjiling ,Male,In seeing,64
19,1,Rural,5-9,WEST BENGAL,Darjiling ,Male,In seeing,106
19,1,Rural,10-19,WEST BENGAL,Darjiling ,Male,In seeing,289
19,1,Rural,20-29,WEST BENGAL,Darjiling ,Male,In seeing,267
19,1,Rural,30-39,WEST BENGAL,Darjiling ,Male,In seeing,255
19,1,Rural,40-49,WEST BENGAL,Darjiling ,Male,In seeing,276
19,1,Rural,50-59,WEST BENGAL,Darjiling ,Male,In seeing,219
19,1,Rural,60-69,WEST BENGAL,Darjiling ,Male,In seeing,232
19,1,Rural,70-79,WEST BENGAL,Darjiling ,Male,In seeing,185
19,1,Rural,80-89,WEST BENGAL,Darjiling ,Male,In seeing,75
19,1,Rural,90+,WEST BENGAL,Darjiling ,Male,In seeing,16
19,1,Rural,Age Not Stated,WEST BENGAL,Darjiling ,Male,In seeing,3
19,1,Urban,0-4,WEST BENGAL,Darjiling ,Male,In seeing,33
19,1,Urban,5-9,WEST BENGAL,Darjiling ,Male,In seeing,57
19,1,Urban,10-19,WEST BENGAL,Darjiling ,Male,In seeing,153
19,1,Urban,20-29,WEST BENGAL,Darjiling ,Male,In seeing,189
19,1,Urban,30-39,WEST BENGAL,Darjiling ,Male,In seeing,192
19,1,Urban,40-49,WEST BENGAL,Darjiling ,Male,In seeing,182
19,1,Urban,50-59,WEST BENGAL,Darjiling ,Male,In seeing,135
19,1,Urban,60-69,WEST BENGAL,Darjiling ,Male,In seeing,120
19,1,Urban,70-79,WEST BENGAL,Darjiling ,Male,In seeing,93
19,1,Urban,80-89,WEST BENGAL,Darjiling ,Male,In seeing,31
19,1,Urban,90+,WEST BENGAL,Darjiling ,Male,In seeing,12
19,1,Urban,Age Not Stated,WEST BENGAL,Darjiling ,Male,In seeing,4
19,2,Rural,0-4,WEST BENGAL,Jalpaiguri ,Male,In seeing,213
19,2,Rural,5-9,WEST BENGAL,Jalpaiguri ,Male,In seeing,318
19,2,Rural,10-19,WEST BENGAL,Jalpaiguri ,Male,In seeing,841
19,2,Rural,20-29,WEST BENGAL,Jalpaiguri ,Male,In seeing,707
19,2,Rural,30-39,WEST BENGAL,Jalpaiguri ,Male,In seeing,612
19,2,Rural,40-49,WEST BENGAL,Jalpaiguri ,Male,In seeing,780
19,2,Rural,50-59,WEST BENGAL,Jalpaiguri ,Male,In seeing,747
19,2,Rural,60-69,WEST BENGAL,Jalpaiguri ,Male,In seeing,776
19,2,Rural,70-79,WEST BENGAL,Jalpaiguri ,Male,In seeing,445
19,2,Rural,80-89,WEST BENGAL,Jalpaiguri ,Male,In seeing,173
19,2,Rural,90+,WEST BENGAL,Jalpaiguri ,Male,In seeing,58
19,2,Rural,Age Not Stated,WEST BENGAL,Jalpaiguri ,Male,In seeing,2
19,2,Urban,0-4,WEST BENGAL,Jalpaiguri ,Male,In seeing,90
19,2,Urban,5-9,WEST BENGAL,Jalpaiguri ,Male,In seeing,115
19,2,Urban,10-19,WEST BENGAL,Jalpaiguri ,Male,In seeing,345
19,2,Urban,20-29,WEST BENGAL,Jalpaiguri ,Male,In seeing,364
19,2,Urban,30-39,WEST BENGAL,Jalpaiguri ,Male,In seeing,362
19,2,Urban,40-49,WEST BENGAL,Jalpaiguri ,Male,In seeing,369
19,2,Urban,50-59,WEST BENGAL,Jalpaiguri ,Male,In seeing,342
